# fk-constraints.txt - pg_constraint dump from mcc-production
# Generated 2026-07-16 via mcp__supabase__execute_sql
# Format: conname	source_table	definition

care_plan_completions_provider_id_fkey	care_plan_completions	FOREIGN KEY (provider_id) REFERENCES auth.users(id) ON DELETE SET NULL
care_plans_accepted_bid_id_fkey	care_plans	FOREIGN KEY (accepted_bid_id) REFERENCES plan_bids(id) ON DELETE SET NULL
care_plans_credit_redemption_id_fkey	care_plans	FOREIGN KEY (credit_redemption_id) REFERENCES member_credits(id)
care_plans_member_id_fkey	care_plans	FOREIGN KEY (member_id) REFERENCES auth.users(id) ON DELETE CASCADE
care_plans_provider_id_fkey	care_plans	FOREIGN KEY (provider_id) REFERENCES auth.users(id) ON DELETE SET NULL
care_plans_vehicle_id_fkey	care_plans	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id) ON DELETE SET NULL
checkin_queue_member_id_fkey	checkin_queue	FOREIGN KEY (member_id) REFERENCES profiles(id)
checkin_queue_provider_id_fkey	checkin_queue	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
checkin_queue_session_id_fkey	checkin_queue	FOREIGN KEY (session_id) REFERENCES checkin_sessions(id) ON DELETE SET NULL
checkin_queue_vehicle_id_fkey	checkin_queue	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id)
checkin_sessions_customer_id_fkey	checkin_sessions	FOREIGN KEY (customer_id) REFERENCES profiles(id)
checkin_sessions_provider_id_fkey	checkin_sessions	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
checkin_sessions_vehicle_id_fkey	checkin_sessions	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id)
circumvention_reports_package_id_fkey	circumvention_reports	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id)
circumvention_reports_provider_id_fkey	circumvention_reports	FOREIGN KEY (provider_id) REFERENCES profiles(id)
circumvention_reports_reported_user_id_fkey	circumvention_reports	FOREIGN KEY (reported_user_id) REFERENCES profiles(id)
circumvention_reports_reporter_id_fkey	circumvention_reports	FOREIGN KEY (reporter_id) REFERENCES profiles(id)
circumvention_reports_reviewed_by_fkey	circumvention_reports	FOREIGN KEY (reviewed_by) REFERENCES profiles(id)
clover_transactions_provider_id_fkey	clover_transactions	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
club_activity_log_club_id_fkey	club_activity_log	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_comp_service_grants_club_id_fkey	club_comp_service_grants	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_comp_service_grants_comp_service_id_fkey	club_comp_service_grants	FOREIGN KEY (comp_service_id) REFERENCES club_comp_services(id) ON DELETE CASCADE
club_comp_service_grants_member_id_fkey	club_comp_service_grants	FOREIGN KEY (member_id) REFERENCES auth.users(id)
club_comp_services_club_id_fkey	club_comp_services	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_coupon_redemptions_club_id_fkey	club_coupon_redemptions	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_coupon_redemptions_coupon_id_fkey	club_coupon_redemptions	FOREIGN KEY (coupon_id) REFERENCES club_coupons(id) ON DELETE CASCADE
club_coupon_redemptions_member_id_fkey	club_coupon_redemptions	FOREIGN KEY (member_id) REFERENCES auth.users(id)
club_coupons_club_id_fkey	club_coupons	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_memberships_club_id_fkey	club_memberships	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_order_items_order_id_fkey	club_order_items	FOREIGN KEY (order_id) REFERENCES club_orders(id) ON DELETE CASCADE
club_order_items_product_id_fkey	club_order_items	FOREIGN KEY (product_id) REFERENCES club_products(id) ON DELETE RESTRICT
club_orders_club_id_fkey	club_orders	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_orders_member_id_fkey	club_orders	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE SET NULL
club_points_config_club_id_fkey	club_points_config	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_points_ledger_club_id_fkey	club_points_ledger	FOREIGN KEY (club_id) REFERENCES car_clubs(id) ON DELETE CASCADE
club_points_ledger_member_id_fkey	club_points_ledger	FOREIGN KEY (member_id) REFERENCES auth.users(id)
